Language/Extension, Number or files
PHP/.php5, 22
JavaScript/.jsb, 20
PHP/.php3, 19
JavaScript/.xsjslib, 19
Coq/.coq, 18
Visual Basic/.vbhtml, 18
Yacc/.yacc, 17
SQLPL/.db2, 15
JavaScript/.jscad, 14
Roff/.3p, 14
Assembly/.a51, 13
Lua/.pd_lua, 13
PHP/.aw, 12
Groovy/.gvy, 12
Emacs Lisp/.emacs, 12
EmacsLisp/.emacs, 11
1CEnterprise/.os, 11
JavaScript/.ssjs, 11
PLSQL/.plsql, 11
C/.cats, 10
Common Lisp/.ny, 9
CommonLisp/.sexp, 8
Fortran/.f77, 8
ASP/.axd, 7
JavaScript/.jake, 7
Ruby/.rbw, 6
Scala/.kojo, 6
Fortran/.f03, 5
GLSL/.frg, 5
Vimscript/.vmb, 4
Fortran/.f08, 4
Clojure/.cl2, 4
Clojure/.hic, 4
Tcl/.adp, 3
Max/.mxt, 3
Vim script/.vmb, 3
VisualBasic/.vbhtml, 2
PLSQL/.plb, 2
Perl6/.p6, 2
OCaml/.ml4, 2
PLSQL/.vw, 2
Roff/.1in, 2
Roff/.3in, 2
Roff/.3qt, 2
OCaml/.eliom, 2
GLSL/.vrx, 2
Max/.maxproj, 2
SQF/.hqf, 2
SQL/.viw, 2
Perl6/.pm6, 1
TeX/.mkii, 1
Perl 6/.nqp, 1
HTML/.html.hl, 0
Python/.lmi, 0
Python/.xpy, 0
Shell/.sh.in, 0
Makefile/.mkfile, 0
Ruby/.rbx, 0
Lua/.rbxs, 0
TeX/.mkiv, 0
TeX/.mkvi, 0
EmacsLisp/.emacs.desktop, 0
Rust/.rs.in, 0
CommonLisp/.ny, 0
CommonLisp/.podsl, 0
OCaml/.eliomi, 0
GLSL/.fshader, 0
GLSL/.gshader, 0
GLSL/.vshader, 0
Erlang/.app.src, 0
CMake/.cmake.in, 0
Kotlin/.ktm, 0
Clojure/.cljs.hl, 0
Haxe/.hxsl, 0
Perl6/.6pl, 0
Perl6/.6pm, 0
Perl6/.nqp, 0
Perl6/.p6l, 0
Perl6/.p6m, 0
Emacs Lisp/.emacs.desktop, 0
Common Lisp/.podsl, 0
Perl 6/.6pl, 0
Perl 6/.6pm, 0
Perl 6/.p6l, 0
Perl 6/.p6m, 0
